Subcounty_name,Ward_name,Area_of_deprived_areas (©O£©,Deprived_population (person),Ward_area (k©O£©,Deprived_population_density_by_ward (person/k©O£©,,,,Density_range (person/k©O£©,
Dagoretti North,Gatina,0.4399,45545,1.37,33244,,,,"(30000, 40000]",
,Kileleshwa,0.0064,662,8.71,76,,,,"(0, 5000]",
,Kilimani,0.1691,17508,16.6691,1050,,,,"(0, 5000]",
Dagoretti South,Kabiro,0.0431,4462,0.5418,8236,,,,"(5000, 10000]",
,Kawangware,0.7426,76886,2.0732,37086,,,,"(30000, 40000]",
,Mutu-Ini,0.2818,29176,4.9187,5932,,,,"(5000, 10000]",
,Ngando,0.2599,26909,2.3492,11455,,,,"(10000, 15000]",
,Riruta,0.4604,47668,3.9381,12104,,,,"(10000, 15000]",
,Uthiru/Ruthimitu,0.3946,40855,9.2912,4397,,,,"(0, 5000]",
,Waithaka,0.3084,31930,5.6641,5637,,,,"(5000, 10000]",
Embakasi Central,Kayole Central,0.6577,68096,0.9908,68726,,,,"(60000, 70000]",
,Kayole North,0.6387,66129,0.9687,68264,,,,"(60000, 70000]",
,Kayole South,0.7561,78284,0.9526,82181,,,,"(80000, 90000]",
,Komarock,0.7101,73521,3.6507,20139,,,,"(20000, 30000]",
,Matopeni/Spring Valley,0.5252,54377,1.6541,32874,,,,"(30000, 40000]",
Embakasi East,Embakasi,0.2721,28172,52.3315,538,,,,"(0, 5000]",
,Lower Savannah,0.1876,19423,0.9379,20709,,,,"(20000, 30000]",
,Mihango,0.5221,54056,26.4558,2043,,,,"(0, 5000]",
,Upper Savannah,0.3968,41083,3.0751,13360,,,,"(10000, 15000]",
,Utawala,0.5501,56955,3.094,18408,,,,"(15000, 20000]",
Embakasi North,Dandora Area I,0.4346,44997,0.8556,52590,,,,"(50000, 60000]",
,Dandora Area Ii,0.3836,39716,1.4017,28334,,,,"(20000, 30000]",
,Dandora Area Iii,0.44,45556,0.7035,64761,,,,"(60000, 70000]",
,Dandora Area Iv,0.3116,32262,1.3606,23711,,,,"(20000, 30000]",
,Kariobangi North,0.4445,46022,1.1092,41491,,,,"(40000, 50000]",
Embakasi South,Imara Daima,0.0372,3851,7.5572,510,,,,"(0, 5000]",
,Kwa Njenga,0.5329,55174,1.3294,41504,,,,"(40000, 50000]",
,Kwa Reuben,0.915,94736,5.7901,16362,,,,"(15000, 20000]",
,Kware,0.4205,43537,1.5661,27800,,,,"(20000, 30000]",
,Pipeline,0.1119,11585,1.3244,8747,,,,"(5000, 10000]",
Embakasi West,Kariobangi South,1.0663,110401,3.2467,34004,,,,"(30000, 40000]",
,Mowlem,1.1231,116282,3.2141,36179,,,,"(30000, 40000]",
,Umoja I,0.5241,54263,1.5678,34611,,,,"(30000, 40000]",
,Umoja Ii,0.515,53321,1.7182,31034,,,,"(30000, 40000]",
Kamukunji,Airbase,0.683,70715,5.5586,12722,,,,"(10000, 15000]",
,California,0.0456,4721,0.4836,9762,,,,"(5000, 10000]",
,Eastleigh North,0.164,16980,0.8387,20247,,,,"(20000, 30000]",
,Eastleigh South,0.1996,20665,0.6771,30518,,,,"(30000, 40000]",
,Pumwani,0.4206,43547,1.2783,34065,,,,"(30000, 40000]",
Kasarani,Clay City,0.2139,22146,4.7821,4631,,,,"(0, 5000]",
,Kasarani,0.2346,24289,8.908,2727,,,,"(0, 5000]",
,Mwiki,0.2163,22395,15.7694,1420,,,,"(0, 5000]",
,Njiru,1.1467,118725,7.3549,16142,,,,"(15000, 20000]",
,Ruai,0.3101,32107,99.4922,320,,,,"(0, 5000]",
Kibra,Laini Saba,0.0314,3251,0.1631,19930,,,,"(15000, 20000]",
,Lindi,0.6131,63478,0.8176,77637,,,,"(70000, 80000]",
,Makina,0.2121,21960,0.7065,31082,,,,"(30000, 40000]",
,Nyayo Highrise,0.1348,13956,0.9484,14715,,,,"(10000, 15000]",
,Sarangombe,0.3468,35906,1.4045,25564,,,,"(20000, 30000]",
,Woodley/Kenyatta Golf Course,0.1288,13335,9.2566,1441,,,,"(0, 5000]",
Langata,Karen,0.1325,13719,74.6429,184,,,,"(0, 5000]",
,Mugumu-Ini,0.8022,83057,101.4298,819,,,,"(0, 5000]",
,Nairobi West,0.0527,5456,6.4225,850,,,,"(0, 5000]",
,South C,0.0597,6181,3.0087,2054,,,,"(0, 5000]",
Makadara,Harambee,0.0532,5508,1.194,4613,,,,"(0, 5000]",
,Makongeni,0.3351,34695,2.419,14343,,,,"(10000, 15000]",
,Maringo/Hamza,0.4119,42646,3.3144,12867,,,,"(10000, 15000]",
,Viwandani,0.3056,31640,5.0864,6220,,,,"(5000, 10000]",
Mathare,Hospital,0.0419,4338,0.8325,5211,,,,"(5000, 10000]",
,Huruma,0.501,51872,0.7503,69132,,,,"(60000, 70000]",
,Kiamaiko,0.3679,38091,0.5772,65988,,,,"(60000, 70000]",
,Mabatini,0.3075,31837,0.433,73532,,,,"(70000, 80000]",
,Mlango Kubwa,0.0663,6864,0.3094,22187,,,,"(20000, 30000]",
Roysambu,Githurai,0.2162,22384,1.2879,17380,,,,"(15000, 20000]",
,Kahawa,0.2158,22343,3.011,7420,,,,"(5000, 10000]",
,Kahawa West,0.1173,12144,13.7255,885,,,,"(0, 5000]",
,Roysambu,0.1222,12652,22.4519,564,,,,"(0, 5000]",
,Zimmerman,0.1766,18284,7.5599,2419,,,,"(0, 5000]",
Ruaraka,Baba Dogo,0.1415,14650,2.5149,5825,,,,"(5000, 10000]",
,Korogocho,0.3287,34032,0.7402,45975,,,,"(40000, 50000]",
,Lucky Summer,0.129,13356,1.4194,9410,,,,"(5000, 10000]",
,Mathare North,0.1218,12610,0.8221,15338,,,,"(15000, 20000]",
,Utalii,0.0601,6222,1.7027,3654,,,,"(0, 5000]",
Starehe,Landimawe,0.1952,20210,6.225,3247,,,,"(0, 5000]",
,Nairobi Central,0.2158,22343,3.0963,7216,,,,"(5000, 10000]",
,Nairobi South,0.4217,43661,2.3106,18896,,,,"(15000, 20000]",
,Ngara,0.126,13045,2.6556,4912,,,,"(0, 5000]",
,Pangani,0.1835,18999,1.7715,10725,,,,"(10000, 15000]",
,Ziwani/Kariokor,0.1168,12093,0.8253,14652,,,,"(10000, 15000]",
Westlands,Kangemi,0.2804,29031,1.3448,21587,,,,"(20000, 30000]",
,Karura,0.1507,15603,42.2366,369,,,,"(0, 5000]",
,Kitisuru,0.0896,9276,20.8044,446,,,,"(0, 5000]",
,Mountain View,0.3834,39696,3.1621,12554,,,,"(10000, 15000]",
,Parklands/Highridge,0.025,2588,8.3408,310,,,,"(0, 5000]",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
